"ITB","R401-01-20","81-4","451","R401-01-20","0.01","*SCR1","401","01",
"ITB","R401-01-20","81-4","468","R401-01-20","0.01","*SCR2","401","01",
"ITB","R401-01-21","81-3","154","R401-01-21","0.01","*SCR3","401","01",
"ITB","R401-01-21","81-3","447","R401-01-21","0.01","*SCR2","401","01",
"ITB","R401-01-22","81-4","455","R401-01-22","0.01","*SCR2","401","01",
"ITB","R401-01-22","81-4","469","R401-01-22","0.01","*SCR3","401","01",
"ITB","R402-01-01","1-2","102","R402-01-01","0.01","*DC","402","01",
"ITB","R402-01-01","6-2","235","R402-01-01","0.01","*SCR1","402","01",
"ITB","R402-01-02","1-5","106","R402-01-02","0.01","*DC","402","01",
"ITB","R402-01-02","6-5","250","R402-01-02","0.01","*SCR1","402","01",
"ITB","R402-01-03","4-5","250","R402-01-03","0.01","*SCR2","402","01",
"ITB","R402-01-03","4-5","250","R402-01-03","0.01","*SCR1","402","01",
"ITB","R402-01-04","4-6","251","R402-01-04","0.01","*SCR2","402","01",
"ITB","R402-01-04","4-6","302","R402-01-04","0.01","*SCR1","402","01",
"ITB","R402-01-05","1-1","101","R402-01-05","0.01","*DC","402","01",
"ITB","R402-01-05","6-1","153","R402-01-05","0.01","*SCR1","402","01",
"ITB","R402-01-06","1-20","116","R402-01-06","0.01","*DC","402","01",
"ITB","R402-01-06","6-20","0","R402-01-06","0.01","*SCR1","402","01",
"ITB","R402-01-07","1-6","107","R402-01-07","0.01","*DC","402","01",
