"; *** SCR1","K5","Q","2651","SK5-Q","1","",
"ITB","R402-03-20","4-20","284","R402-03-20","0.01","*SCR4",
"ITB","R402-03-20","4-26","283","R402-03-20","0.01","*SCR3",
"ITB","R402-04-01","1-7","108","R402-04-01","0.01","*DC",
"ITB","R402-04-01","6-7","2780","R402-04-01","0.01","*SCR1",
"ITB","R402-04-02","1-8","109","R402-04-02","0.01","*DC",
"ITB","R402-04-02","6-8","2650","R402-04-02","0.01","*SCR1",
"ITB","R402-04-03","3-7","144","R402-04-03","0.01","*DC",
"ITB","R402-04-03","6-7","272","R402-04-03","0.01","*SCR3",
"ITB","R402-04-04","3-8","145","R402-04-04","0.01","*DC",
"ITB","R402-04-04","6-8","273","R402-04-04","0.01","*SCR3",
"ITB","R402-04-05","4-7","272","R402-04-05","0.01","*SCR3",
"ITB","R402-04-05","4-9","409","R402-04-05","0.01","*SCR2",
"ITB","R402-04-06","4-109","409","R402-04-06","0.01","*SCR2",
"ITB","R402-04-06","4-9","2800","R402-04-06","0.01","*SCR1",
"ITB","R402-04-07","4-10","2810","R402-04-07","0.01","*SCR1",
"ITB","R402-04-07","4-110","410","R402-04-07","0.01","*SCR2",
"ITB","R402-04-08","2-7","125","R402-04-08","0.01","*DC",
"ITB","R402-04-08","6-7","307","R402-04-08","0.01","*SCR2",
"ITB","R402-04-09","2-8","126","R402-04-09","0.01","*DC",
"ITB","R402-04-09","6-8","300","R402-04-09","0.01","*SCR2",
"ITB","R402-04-10","2-7","165","R402-04-10","0.01","*DC",
"ITB","R402-04-10","6-7","255","R402-04-10","0.01","*SCR4",
"ITB","R402-04-11","2-8","166","R402-04-11","0.01","*DC",
"ITB","R402-04-11","6-8","256","R402-04-11","0.01","*SCR4",
"ITB","R402-04-12","4-7","252","R402-04-12","0.01","*SCR2",
"ITB","R402-04-12","4-7","264","R402-04-12","0.01","*SCR1",
"ITB","R402-04-13","4-11","271","R402-04-13","0.01","*SCR2",
"ITB","R402-04-13","4-11","282","R402-04-13","0.01","*SCR1",
"ITB","R402-04-14","4-3","173","R402-04-14","0.01","*SCR2",
"ITB","R402-04-14","4-3","267","R402-04-14","0.01","*SCR1",
"ITB","R402-04-15","4-12","435","R402-04-15","0.01","*SCR3",
"ITB","R402-04-15","4-9","255","R402-04-15","0.01","*SCR4",
"ITB","R402-04-16","4-10","256","R402-04-16","0.01","*SCR4",
"ITB","R402-04-16","4-13","436","R402-04-16","0.01","*SCR3",
"ITB","R402-04-17","4-115","435","R402-04-17","0.01","*SCR3",
"ITB","R402-04-17","4-15","275","R402-04-17","0.01","*SCR2",
"ITB","R402-04-18","4-116","436","R402-04-18","0.01","*SCR3",
"ITB","R402-04-18","4-16","276","R402-04-18","0.01","*SCR2",
